# where T1/2 is the beta-decay half-life in seconds
# from http://t2.lanl.gov/nis/data/astro/molnix96/tbeta.html
# direct link: http://t2.lanl.gov/nis/data/astro/molnix96/bethlp.dat
#   Z    N T1/2
   53   55 1.34968E-01
   53   56 3.38009E-01
   53   57 5.27815E-01
   53   58 9.11602E-01
   53   59 1.59714E+00
   53   60 2.88178E+00
   53   61 1.01624E+01
   53   62 9.33498E+00
   53   63 1.40974E+01
   53   64 5.74829E+01
   53   65 1.95381E+02
   53   66 2.75134E+02
   53   67 1.53129E+02
   53   68 3.21215E+03
   53   69 8.68725E+03
   53   70 1.71440E+04
   53   71 5.58599E+04
   53   72 1.11227E+06
   53   73 6.93147E+09
   53   75 6.93147E+09
   53   77 6.93147E+09
   54   49 4.71548E-03
   54   50 1.24101E-02
   54   51 1.10855E-02
   54   52 4.47490E-02
   54   53 4.11374E-02
   54   54 1.89525E-01
   54   55 1.70140E-01
   54   56 6.18748E-01
   54   57 8.05841E-01
   54   58 2.06786E+00
   54   59 2.16060E+00
   54   60 8.98080E+00
   54   61 7.59223E+00
   54   62 4.42964E+01
   54   63 1.40033E+01
   54   64 2.35798E+02
   54   65 2.01702E+02
   54   66 2.74085E+03
   54   67 1.87781E+02
   54   68 2.66722E+04
   54   69 6.74784E+04
   54   71 3.85588E+06
   54   73 6.93147E+09
   55   51 6.22455E-03
   55   52 1.45364E-02
   55   53 1.35432E-02
   55   54 4.01814E-02
   55   55 6.14396E-02
   55   56 1.79473E-01
   55   57 2.29767E-01
   55   58 4.32121E-01
   55   59 4.79357E-01
   55   60 9.48413E-01
   55   61 1.45503E+00
   55   62 4.12493E+00
   55   63 8.88550E+00
   55   64 1.52496E+01
   55   65 2.06328E+01
   55   66 3.06129E+01
   55   67 1.32977E+01
   55   68 1.75802E+02
   55   69 7.94469E+02
   55   70 1.42421E+03
   55   71 5.13893E+03
   55   72 7.04213E+03
   55   73 1.76023E+04
   55   74 3.03557E+04
   55   75 8.41702E+04
   55   76 5.29422E+05
   55   77 1.77121E+04
   55   79 6.93147E+09
   55   81 6.93147E+09
   56   52 1.19339E-02
   56   53 1.00392E-02
   56   54 2.66487E-02
   56   55 3.01682E-02
   56   56 1.00609E-01
   56   57 1.01335E-01
   56   58 3.20640E-01
   56   59 2.41480E-01
   56   60 1.23421E+00
   56   61 1.37744E+00
   56   62 4.49636E+00
   56   63 4.24061E+00
   56   64 1.82512E+01
   56   65 6.03273E+00
